Title,Release Year,Genres,Runtime,Rating,Age Rating,Decade
The Shawshank Redemption,1994,Drama,142,9.3,R,1990
The Godfather,1972,"Crime, Drama",175,9.2,R,1970
The Dark Knight,2008,"Action, Crime, Drama",152,9.1,PG-13,2000
The Godfather Part II,1974,"Crime, Drama",202,9,R,1970
12 Angry Men,1957,"Crime, Drama",96,9,Approved,1950
The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",201,9,PG-13,2000
Schindler's List,1993,"Biography, Drama, History",195,9,R,1990
Pulp Fiction,1994,"Crime, Drama",154,8.8,R,1990
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",178,8.9,PG-13,2000
"The Good, the Bad and the Ugly",1966,"Adventure, Drama, Western",178,8.8,R,1960
Forrest Gump,1994,"Drama, Romance",142,8.8,PG-13,1990
The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy",179,8.8,PG-13,2000
Fight Club,1999,"Crime, Drama, Thriller",139,8.8,R,1990
Inception,2010,"Action, Adventure, Sci-Fi",148,8.8,PG-13,2010
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124,8.7,PG,1980
The Matrix,1999,"Action, Sci-Fi",136,8.7,R,1990
Goodfellas,1990,"Biography, Crime, Drama",145,8.7,R,1990
Interstellar,2014,"Adventure, Drama, Sci-Fi",169,8.7,PG-13,2010
One Flew Over the Cuckoo's Nest,1975,Drama,133,8.7,R,1970
Se7en,1995,"Crime, Drama, Mystery",127,8.6,R,1990
It's a Wonderful Life,1946,"Drama, Family, Fantasy",130,8.6,PG,1940
The Silence of the Lambs,1991,"Crime, Drama, Horror",118,8.6,R,1990
Seven Samurai,1954,"Action, Drama",207,8.6,Not Rated,1950
Saving Private Ryan,1998,"Drama, War",169,8.6,R,1990
The Green Mile,1999,"Crime, Drama, Fantasy",189,8.6,R,1990
